Subject,Start date,Start time,End Date,End Time,All Day Event
Coupe du comité Poitiers,1/6/2020,9:00,1/6/2020,21:00,False
Coupe du comité Royan,27/6/2020,13:30,28/6/2020,21:00,False
,,,,,
Dame/2 Demi-finale Niort,6/11/2019,9:45,6/11/2019,18:00,False
Dame /2 finale  Comité Royan,21/12/2019,13:30,22/12/2019,21:00,False
Dame/2 Ligue Royan,8/2/2020,13:30,9/2/2020,21:00,False
Dame /2 Finale nationale,29/2/2020,13:30,1/3/2020,21:00,False
,,,,,
Interclubs D4 Les Sables,4/4/2020,13:30,5/4/2020,21:00,False
Interclubs finale D4 Limoges,16/5/2020,13:30,17/5/2020,21:00,False
Interclubs D5 Royan,16/5/2020,13:30,17/5/2020,21:00,False
,,,,,
Open /4 Promo Comité Royan,7/12/2019,13:30,8/12/2019,21:00,False
Open /4 Promo  Ligue Royan,18/1/2020,13:30,19/1/2020,21:00,False
Open /4 Promo Nationale,15/2/2020,13:30,16/2/2020,21:00,False
,,,,,
Open /2 Promo Demi Poitiers,2/11/2019,13:30,2/11/2019,21:00,False
Open /2 Promo Finale Niort,28/3/2020,13:30,28/3/2020,21:00,False
Open /2 Promo Finale Nationale,2/5/2020,13:30,3/5/2020,21:00,False
,,,,,
Mixte /2 Promo Demi Poitiers,16/11/2019,13:30,16/11/2019,21:00,False
Mixte /2 Promo Finale Niort,11/1/2020,13:30,11/1/2020,21:00,False
Mixte /2 Promo Finale Nationale,7/3/2020,13:30,8/3/2020,21:00,False
,,,,,
Mixte /4 Promo Comité Royan,4/1/2020,13:30,5/1/2020,21:00,False
Mixte /4 Promo  Ligue Royan,18/4/2020,13:30,19/4/2020,21:00,False
Mixte /4 Promo Nationale,9/5/2020,13:30,10/5/2020,21:00,False
,,,,,
Dame /4 Honneur Comité Royan,25/4/2020,13:30,26/4/2020,21:00,False
Dame /4 Honneur  Ligue Royan,30/5/2020,13:30,31/5/2020,21:00,False
Dame /4 Honneur nationale,27/6/2020,13:30,28/6/2020,21:00,False
,,,,,
Open /4 Honneur Demi Poitiers,5/10/2019,13:30,6/10/2019,21:00,False
Open /4 Honneur Comité Royan,7/12/2019,13:30,8/12/2019,21:00,False
Open /4 Honneur  Ligue Royan,18/1/2020,13:30,19/1/2020,21:00,False
Open /4 Honneur Nationale,15/2/2020,13:30,16/2/2020,21:00,False
,,,,,
Mixte /4 Honneur Demi Poitiers,26/10/2019,13:30,27/10/2019,21:00,False
Mixte /4 Honneur Comité Royan,5/1/2020,13:30,6/1/2020,21:00,False
Mixte /4 Honneur  Ligue Royan,18/4/2020,13:30,19/4/2020,21:00,False
Mixte /4 Honneur Nationale,9/5/2020,13:30,10/5/2020,21:00,False
,,,,,
Open /2 Honneur Demi Poitiers,2/11/2019,13:30,2/11/2019,21:00,False
Open /2 Honneur Comité Royan,23/11/2019,13:30,24/11/2019,21:00,False
Open /2 Honneur  Ligue La Châtre,28/3/2020,13:30,29/3/2020,21:00,False
Open /2 Honneur Nationale,2/5/2020,13:30,3/5/2020,21:00,False
